Matrics Num (hashed),Attendance,Occurrence,Marks,Performance
96178C01,40,OCC4 RL,60,43.23365638295647
F90B27BC,40,OCC4 RL,60,43.23365638295647
288B21C9,60,OCC4 RL,75,70.97913528704213
AAEA79FC,60,OCC4 RL,59,71.16279544017823
C16DA9BB,60,OCC4 RL,45,44.58595944910194
A23F12C4,80,OCC4 RL,66,67.87888791125333
AABDC870,80,OCC4 RL,65,67.44873867478161
936B9DA2,60,OCC4 RL,72,71.51244111500807
762450B0,40,OCC4 RL,74,44.17447049315149
B1B4B869,40,OCC4 RL,59,43.37967883965269
71E282BB,80,OCC4 RL,72,68.96046422143364
ECB1F360,100,OCC4 RL,60,35.24980834452717
C3C7A1D7,40,OCC4 RL,69,43.23365638295647
F9C10425,0,OCC4 RL,51,18.389984222021713
3D77E392,20,OCC4 RL,71,21.776724264014888
9644207A,60,OCC4 RL,84,64.57531561168206
C72CFABB,40,OCC4 RL,57,43.842026135109364
7F7CB11A,0,OCC4 RL,53,17.841476388245532
1C91B8CC,0,OCC4 RL,85,17.778435052744353
6B973717,0,OCC4 RL,49,18.90605382017889
E4A8C6D5,80,OCC4 RL,57,58.73391285878537
77D10B84,0,OCC4 RL,56,17.015528536437667
8C07353F,40,OCC4 RL,63,43.23365638295647
358E7910,0,OCC4 RL,74,17.015528536437667
FC6299A9,60,OCC4 RL,63,71.78542284219736
C4583142,40,OCC4 RL,71,43.37967883965269
85B91A56,60,OCC4 RL,70,71.68849809539093
260E1079,80,OCC4 RL,77,72.20457837446803
B9C8B3A6,80,OCC4 RL,71,68.8934860917258
D4CCF512,0,OCC4 RL,56,17.015528536437667
35118C4A,60,OCC4 RL,58,70.49717578044319
8E1483A0,40,OCC4 RL,60,43.23365638295647
E72CA520,60,OCC4 RL,62,71.76939775975018
4A383301,60,OCC4 RL,54,65.87607127129554
D11D27DA,20,OCC4 RL,57,22.632765477475658
ABD912E3,80,OCC4 RL,86,75.50166856911764
0B226EF3,20,OCC4 RL,59,21.776724264014888
189A37E7,60,OCC4 RL,80,68.75410751592301
AE83DB4D,20,OCC4 RL,89,23.478384880632714
351BA83F,60,OCC4 RL,62,71.76939775975018
EDF45CEE,40,OCC4 RL,42,39.817242519881496
